group,index
13,R3HDM4
13,HAUS3
13,THAP7
13,CDC42SE2
13,TOB1
13,SKAP1
13,WDR43
13,MYO1G
13,RNMT
13,OXNAD1
13,BUD31
13,RCAN3
13,TRABD2A
13,HLA-A
13,TBC1D10C
13,BEX4
13,FAM117B
13,RPL23A
13,CWF19L1
13,TUBA4A
13,S100A4
13,UBQLN2
13,ATM
13,RASAL3
13,EIF3E
13,SS18L2
13,JOSD1
13,SELL
13,APMAP
13,LDLRAP1
13,TOMM7
13,S1PR4
13,CD69
13,ITFG2
13,CD4
13,FKBP5
13,LSP1
13,SYNE1
13,STAT4
13,GNG2
13,CGRRF1
13,SLFN5
13,RAP1B
13,PCIF1
13,NOSIP
13,CD55
13,PFN1
13,SPTBN1
13,APEX1
13,DDX24
13,RPP38
13,RNF7
13,NDUFA4
13,ARL4C
13,SPON2
13,CEP68
13,ZFP36L2
13,USP36
14,TRIB2
14,CD7
14,GZMM
14,BATF
14,STAT3
14,FOSB
14,MAGEH1
14,LAT
14,ICA1
14,RGS1
14,IL6ST
14,LIMS1
14,CD69
14,CD4
14,FBXL8
14,BCL6
14,MAP9
14,TCF7
14,PASK
14,DGKA
15,RPS5
15,TAGLN2
15,RPL13A
15,EEF1D
15,RPS27
15,RPS16
15,CD52
15,EEF2
15,RPS13
15,RPS19
15,CXCR4
15,RGS1
15,EEF1B2
15,RPL12
15,PTTG1
15,RPS8
15,RPL37
15,NDUFA1
15,RPL35
15,RPS3
15,RPL27
15,HLA-F
15,RPL27A
15,RPL37A
15,CD53
15,HIGD2A
15,RPS20
15,RPL28
15,RPL30
15,RPL13
15,NPM1
15,RPS6
15,RPL11
15,RPL38
15,CALM1
15,COX4I1
15,RPL39
15,HCST
15,RPL41
15,RPS7
15,IL2RG
15,B2M
15,RPS21
15,LDHB
15,RPS2
15,ITGB2
15,RPL4
15,RPL24
15,RPL15
15,RPL10
15,RPS27A
15,RPL8
15,RPL26
15,RPA3
15,NDUFS5
15,RPL36
15,RPL7
15,RPL29
15,CCL5
15,RPS12
15,RPS15
15,RPS14
15,MYL12A
15,SON
15,RPS3A
15,RPL32
15,RPS29
15,LGALS1
15,JUN
15,RNPS1
