B cells,cDC cells,Endothelial cells,Fibroblasts,Macrophages M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,T CD4 naive cells,T CD4 effector cells,T CD8 central memory cells,T CD8 effector cells,T CD8 effector memory cells,T CD8 exhausted cells,T CD8 naive cells,Tfh cells,Tprolifs,Th1 cells,Th17 cells,Th2 cells,Tregs,MAIT,T CD4 conventional cells
CD34,HLA-DQB1,EDG6,MSC,,,TBILA,TXN,CTHRC1,FCGR3A,SPIB,IGHG2,,,,,LPCAT1,,MLXIP,,,,,,DUSP4,,
CD37,ID2,EDG8,MXRA8,,,TNFAIP1,GSTP1,PRELP,FCGR3B,P4HB,IGHG3,,,,,MBP,,MYC,,,,,,ELK3,,
CD38,IRF4,EFNA1,MYH11,,,TPSAB1,STXBP2,NEDD9,FGF18,IL3RA,IGHG4,,,,,MTSS1,,NDFIP1,,,,,,F5,,
CD40,IRF8,EGFL7,NID2,,,TPSB2,PABPC1,WNT5A,FGFBP2,CD164,IGHGP,,,,,MYO1F,,NELL2,,,,,,FAM110A,,
SPN,ITGAE,ELK3,OLFML2B,,,VWA5A,CFL1,PDLIM3,FLT3LG,RRBP1,IGHM,,,,,MYO1G,,NOG,,,,,,FANK1,,
PTPRC,ITGAM,ELTD1,OLFML3,,,ATP8B4,NEAT1,USP18,FOS,SEC11C,IGHV3-23,,,,,OSBPL5,,NOP53,,,,,,FASLG,,
CD48,ITGAX,EMCN,PALLD,,,BMP2K,HLA-DMA,COMP,FUT5,SERPINF1,IGHV3-7,,,,,PATL2,,NOSIP,,,,,,FCMR,,
CD5,LAMP3,EPCR,PAPSS2,,,BPI,RPS24,VCAN,FZR1,HIGD1A,IGJ,,,,,PIK3R5,,NPAT,,,,,,FCRL3,,
CD52,PPA1,ERG,PCOLCE,,,C3AR1,TGFBI,PKIG,GEM,NR3C1,IGKC,,,,,PLEK,,NPM1,,,,,,FOXP3,,
CD53,PTTG1,ESAM,PCSK5,,,CD33,CAST,PTGER1,GGT1,SEC61B,IGKV1-12,,,,,PLEKHG3,,NT5E,,,,,,FR4,,
CD56,RAB32,F2RL3,PDGFRA,,,CLC,EMP3,VIM,GNLY,UNC93B1,IGKV1-39,,,,,PRF1,,OXNAD1,,,,,,GALNT8,,
CD69,SLC38A1,F8,PDGFRB,,,CRISP3,ACTB,CCN2,GSG1,TMED2,IGKV1-5,,,,,PRKCB,,PASK,,,,,,GARO,,
CD70,SLCO5A1,FABP4,PDGFRL,,,FAM124B,VCAN,COL1A1,GZMA,SIVA1,IGKV1D-13,,,,,PRSS23,,PDE3B,,,,,,GARP,,
CD71,SOCS2,FABP5,PDPN,,,FAM174B,TYROBP,NTM,GZMB,LILRB4,IGKV1D-8,,,,,PXN,,PDK1,,,,,,GBP2,,
CD72,THBD,FABP6,PLAC9,,,FCER1AA,HLA-B,CNN3,GZMH,IRF2BP2,IGKV3-15,,,,,RAP1B,,PIK3IP1,,,,,,GITR,,
CD74,WDFY4,FCN3,PODN,,,GFI1,CTSS,,GZMK,DDX17,IGKV3-20,,,,,RAP1GAP2,,PLEKHB1,,,,,,GLRX,,
CD79A,XCR1,FLT1,PRELP,,,IL18R1,NACA,,GZMM,SELL,IGKV3D-15,,,,,RAP2B,,PRKCQ-AS1,,,,,,HAPLN3,,
CD79B,,FLT1 ,PRRX1,,,LTC4S,HNRNPU,,H4C3,HLA-DRA,IGKV4-1,,,,,RASSF1,,PSIP1,,,,,,HPGD,,
CD80,,FLT4,PTGIS,,,MS4A3,ARPC5,,HAVCR2,PTPRC,IGLC1,,,,,RGS19,,R3HDM4,,,,,,HS3ST3B1,,
CD81,,FXYD6,RARRES2,,,MYB,HLA-DPB1,,HLA-E,LILRA4,IGLC2,,,,,RNF166,,RACK1,,,,,,ICA1,,
CD83,,GFOD2,RCN3,,,NOX3,LAMTOR1,,HMGB2,CYB561A3,IGLC3,,,,,S1PR1,,RASGRP2,,,,,,IKZF2,,
CD86,,GNG11,SCARA3,,,NTRK1,ARRB2,,HOPX,PPP1R14B,IGLJ3,,,,,S1PR5,,RCAN3,,,,,,IL32,,
FAS,,GPR116,SERPINF1,,,P2RX1,CEBPD,,ICAM1,PLP2,IGLL3P,,,,,SAMD3,,RIC3,,,,,,IL4I1,,
CD99,,GPR146,SPARCL1,,,P2RY14,ZFAND5,,IFITM3,PPM1K,IGLL5,,,,,SH3BP5,,RPS8,,,,,,ISG20,,
CDC20,,GPR182,SPOCK1,,,PAQR5,VMP1,,IFNG,LGMN,IGLV@,,,,,SH3BP5-AS1,,S100A4,,,,,,KLRC2,,
CDK1,,GPR4,SULF1,,,RAB27B,CMTM6,,IGFBP5,TSPAN13,IGLV1-44,,,,,SLC2A1,,S1PR1,,,,,,L1CAM,,
CLCA3P,,HAPLN3,SVEP1,,,RGS13,VAMP8,,IL10,GAS6,IGLV1-51,,,,,SLC9A3R1,,SCML4,,,,,,LAIR2,,
CLEC17A,,HERC2P2,TAGLN,,,SLC12A8,RHOG,,IL15,MAPKAPK2,IGLV2-14,,,,,SLCO4C1,,SELL,,,,,,LAP,,
CLEC9A,,HERC2P9,THBS2,,,ST8SIA1,CD37,,IL18RAP,CD68,IGLV3-21,,,,,SPON2,,SERINC5,,,,,,LGALS1,,
